Numéro de l'équipement sportif;Numéro de l'installation sportive;Date de l'enquête;Nom de l'installation sportive;SIRET Installation;Adresse;Code Postal;Commune nom;Commune INSEE;Type de particularité de l'installation;Unité Administrative Immatriculée (UAI);Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;Observation Installation;Date de changement d'état de la fiche d'enquête;Date de création de la fiche d'enquête;Installation hors-service;EPCI INSEE;EPCI Nom;Département Code;Département Nom;Région Code;Région Nom;Bassin de vie Code;Bassin de vie Nom;Arrondissement Code;Arrondissement Nom;Densite Niveau;Densite Catégorie;Département Code Complet;Réctorat Nom;ZRR Simplifié;Nom de l'équipement sportif;Type d'équipement sportif;Coordonnées;Nom du propriétaire;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Gestion en DSP;Arrêté d'ouverture au public;Type d'ERP de l'établissement;Catégorie ERP de l'établissement;Date de l'homologation préfectorale;Période de l'homologation préfectorale;Année de mise en service;Période de mise en service;Date des derniers gros travaux;Période des derniers gros travaux;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Nature de l'équipement sportif;Nature du sol;Longueur de l'aire d'évolution;Largeur de l'aire d'évolution;Hauteur de l'aire d'évolution;Surface de l'aire d'évolution;Eclairage de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires sportifs;Nombre de vestiaires arbitres/enseignants;Présence de douches;Présence de sanitaires;Types de locaux complémentaires;Types d'aménagements de confort;Accessibilité aux personnes à mobilité réduite;Accessibilité aux personnes en situation de handicap sensoriel;Equipement inscrit au PDESI / PDIPR;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;SAE: nombre de couloirs de la structure;Type de pas de tir;Adresse internet de l'équipement;Type d'utilisation;Equipement d'accès libre;Ouverture exclusivement saisonnière;Observation Equipement;Famille d'équipement sportif;Code du type d'équipement sportif;RNB ID;Accessibilité de l'installation en faveur des personnes en situation de handicap;Accessibilité de l'installation en transport en commun;Installation particulière;Locaux complémentaires;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Longitude;Latitude;Type de particularité de l'installation (brute);Activités;QPV;QPV à 200 mètres;Catégorie;gen_2024Fin_Labellisation
E002I021680004;I021680004;2025-03-31;Complexe Citélium;;zone de la moiserie;02400;Château-Thierry;02168;Piscine;;"[""Handicap moteur""]";"[""Bus""]";4 places avec bornes de recharges sont disponibe pour les véhicules éléctrique.;2024-09-24;2017-03-28;;200072031;2;Aisne;32;Hauts-de-France;CA de la Région de Château-Thierry;02168;Château-Thierry;021;Château-Thierry;2;Centres urbains intermédiaires;02;Académie d'Amiens;C - Classée en ZRR;Bassin ludique;Bassin ludique de natation;49.0667, 3.39133;CARCT;Etablissement privé commercial;;Etablissement privé commercial;;true;true;"[""X""]";2;;;2016;A partir de 2005;;;;"[""Autre""]";Intérieur;Béton;;;;;true;;120;6;0;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Solarium""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Tribunes,Vestiaires;Cheminements,Sanitaires,Signalétique,Tribunes,Vestiaires;;15.0;6.5;107.5;0.8;1.4;;;;;;http://www.complexe-citelium.fr;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;;;;;;Bassin de natation;103;;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;3.39133;49.0667;"[""Piscine""]";['Aquagym', 'Baignade loisirs']
E003I590090058;I590090058;2025-03-31;CENTRE NAUTIQUE BABYLONE;21590009300018;Rue du Podium;59491;Villeneuve-d'Ascq;59009;Piscine;;"[""Handicap moteur""]";;;2024-04-24;2005-08-24;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59350;Lille;595;Lille;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;BASSIN;Bassin mixte de natation;50.652045, 3.143764;Commune de Villeneuve-d'Ascq;Commune;;Commune;;false;true;"[""X""]";2;;;2011;A partir de 2005;2026;A partir de 2005;"[""Inadaptation aux attentes des usagers"", ""Vétusté normale"", ""remise à niveau""]";"[""Gaz"", ""Solaire"", ""Autre""]";Intérieur;Carrelage;;;;;true;;0;36;0;true;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Autre""]";"[""Sauna"", ""Solarium""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;25.0;15.0;490.0;0.6;2.5;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";false;false;Travaux dans le cadre du plan 5000 équipements;;;;;Bassin de natation;101;G6D2HNB8SBFD;true;false;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;3.143764;50.652045;"[""Piscine""]";['Aquagym', 'Natation course sportive', 'Plongée subaquatique (Plongée libre)', 'Sauvetage côtier/Surfboat', 'Triathlon', 'Water-Polo']
E003I591220022;I591220022;2025-03-31;Stade Nautique Liberté;21590122400018;boulevard de la liberté;59400;Cambrai;59122;Piscine;;"[""Handicap moteur""]";"[""Bus""]";;2024-04-24;2005-12-15;;200068500;59;Nord;32;Hauts-de-France;CA de Cambrai;59122;Cambrai;592;Cambrai;2;Centres urbains intermédiaires;59;Académie de Lille;NC - Commune non classée;Bassin Ludique;Bassin ludique de natation;50.1723, 3.2267;;Commune;;Commune;;false;true;"[""X""]";2;;;2008;A partir de 2005;;;;"[""Gaz""]";Intérieur;Carrelage;;;;;true;;0;0;0;true;false;;;Cheminements,Douches;;;15.0;5.0;75.0;0.3;1.5;;;;;;;"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]";false;false;Mêmes aménagements complémentaires;;;;;Bassin de natation;103;64XH6A4NK3FE;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;3.2267;50.1723;"[""Piscine""]";['Baignade loisirs']
E003I591720022;I591720022;2025-03-31;Centre Aqualudique Natur&O;51382731100038;68 rue emile zola;59220;Denain;59172;Piscine;;"[""Handicap sensoriel"", ""Handicap moteur""]";"[""Bus"", ""Tramway""]";"Salle de Séminaires, zone restaurant, tisanerie, terrasse extérieure
Création ayant été subventionné par l'Agence National du Sport (ANS)";2024-04-26;2024-01-11;;200042190;59;Nord;32;Hauts-de-France;CA de la Porte du Hainaut;59172;Denain;596;Valenciennes;2;Centres urbains intermédiaires;59;Académie de Lille;NC - Commune non classée;Bassin extérieur nordique;Bassin ludique de natation;50.322217, 3.393402;Ville de Denain;Commune;;;;true;true;"[""X""]";;2021-11-30;;2022;;;;;"[""Autre""]";Intérieur;Carrelage;;;;;true;;200;8;;;true;"[""Réception / Accueil"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Solarium""]";Accueil,Cheminements,Douches,Sanitaires,Tribunes,Vestiaires;Cheminements,Sanitaires,Signalétique,Tribunes,Vestiaires;;;;201.4;;;;;;;;https://www.natureo-denain.fr/;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;Lagune intériere/extérieure, splashpad Extérieur. Création ayant été subventionné par l'Agence National du Sport (ANS);MILLOTTE;Jérôme;jerome.millotte@ville-denain.fr;06 73 31 46 25;Bassin de natation;103;QRCZY959RKH3;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;3.393402;50.322217;"[""Piscine""]";['Baignade loisirs']
E003I592730013;I592730013;2025-03-31;complexe Maurice Baude et Piscine Municipale;21590273500012;rte de bourbourg jean varlet;59820;Gravelines;59273;Piscine;;"[""Handicap moteur""]";;;2024-01-30;2005-11-02;;245900428;59;Nord;32;Hauts-de-France;CU de Dunkerque;59273;Gravelines;594;Dunkerque;3;Petites villes;59;Académie de Lille;NC - Commune non classée;Petit Bassin;Bassin ludique de natation;50.986166, 2.137227;Gravelines;Commune;;Commune;;false;;;;;;1973;1965-1974;;A partir de 2005;"[""Vétusté normale"", ""remise à niveau""]";"[""Gaz""]";Intérieur;Carrelage;;;4.0;;true;;0;2;2;;true;"[""Réception / Accueil"", ""Infirmerie"", ""Local de rangement"", ""Autre""]";;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;;;10.0;10.0;100.0;0.4;1.1;;;;;;https://www.ville-gravelines.fr/gravelines-pratique/les-annuaires/les-equipements/piscine-municipale;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]";;false;RAS;BIGNARD-COULAIS;Maud;m.bignard@ville-gravelines.fr;03 28 23 59 01 / 06 07 31 83 09;Bassin de natation;103;MFWJJ7G4HAVN;true;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;2.137227;50.986166;"[""Piscine""]";['Aquagym', 'Natation course sportive']
E003I591390015;I591390015;2025-03-31;Espace Nautique Intercommunal (ENI);20003063300198;RUE HENRI BARBUSSE CAUDRY;59540;Caudry;59139;Piscine;;"[""Handicap moteur""]";;Installation comprennant un bassin sportif, ludique, d'apprentissage et reception toboggan + espace remise en forme;2024-04-24;2016-02-24;;200030633;59;Nord;32;Hauts-de-France;CA du Caudrésis et du Catésis;59139;Caudry;592;Cambrai;2;Centres urbains intermédiaires;59;Académie de Lille;NC - Commune non classée;Bassin d'apprentissage;Bassin sportif de natation;50.12819, 3.39568;;EPCI;;Etablissement privé commercial;;true;;;;;;2014;A partir de 2005;;;;"[""Gaz""]";Intérieur;Métal;;;;;true;;0;0;0;;false;;;Cheminements,Douches;;;12.0;12.0;144.0;1.0;1.4;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;Mêmes ménagements complémentaires que bassin sportif. x;;;;;Bassin de natation;102;DRERWZMSTKC9;true;false;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;3.39568;50.12819;"[""Piscine""]";['Activités de forme et de santé', 'Aquagym', 'Baignade loisirs']
E003I593030010;I593030010;2025-03-31;Piscine des WEPPES;20009320100081;Rue de croix RN 41 Lille - La Bassée;59134;Herlies;59303;Piscine;;"[""Handicap moteur""]";;;2020-03-18;2012-07-01;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59051;La Bassée;595;Lille;4;Ceintures urbaines;59;Académie de Lille;NC - Commune non classée;Bassin éducatif;Bassin sportif de natation;50.576812, 2.854375;;EPCI;;Etablissement privé commercial;;true;true;"[""X""]";;;;2012;A partir de 2005;;;;"[""Gaz"", ""Solaire""]";Intérieur;Métal;;;;;true;;199;20;2;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";"[""Solarium""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;10.0;5.0;50.0;1.0;1.0;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]";;false;;;;;;Bassin de natation;102;;true;false;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;2.854375;50.576812;"[""Piscine""]";['Baignade loisirs']
E003I593780017;I593780017;2025-03-31;Piscine Municipale;21590378200013;Rue de la Briqueterie;59700;Marcq-en-Barœul;59378;Piscine;;"[""Handicap moteur""]";;;2024-04-24;2005-08-24;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59350;Lille;595;Lille;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;Grand Bassin;Bassin sportif de natation;50.66599, 3.08659;;Commune;;Commune;;false;true;"[""X""]";3;;;1973;1965-1974;;;;"[""Gaz""]";Intérieur;Carrelage;;;;;true;;100;6;6;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";;Vestiaires;;;25.0;15.0;375.0;2.0;2.0;;;;;;http://www.marcq-en-baoreul.org;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;RAS;DUFAYE;Nicolas;nicolas.dufaye@marcq-en-baroeul.fr;03/20/45/46/02;Bassin de natation;102;PHGE3EN1AC9X;true;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;3.08659;50.66599;"[""Piscine""]";['Baignade loisirs', 'Natation course sportive', 'Natation synchronisée', 'Plongée subaquatique (Plongée libre)']
E003I595270004;I595270004;2025-03-31;Complexe Piscine, volley;21590527400019;32 rue Vauban;59350;Saint-André-lez-Lille;59527;Piscine;;;;;2020-01-08;2005-08-24;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59350;Lille;595;Lille;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;PISCINE MUNICIPALE GRAND BASSIN;Bassin sportif de natation;50.65853, 3.04966;;Commune;;Commune;;false;true;"[""X""]";4;;;1967;1965-1974;;;;"[""Gaz""]";Intérieur;Carrelage;;;;;false;;150;2;0;;true;"[""Local contrôle anti-dopage"", ""Infirmerie"", ""Autre""]";;;;;25.0;12.5;312.5;1.8;4.6;;;;;;;"[""Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]";;false;;;;;;Bassin de natation;102;;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;3.04966;50.65853;"[""Piscine""]";"['Baignade loisirs', 'Natation course sportive', ""Plongée d'exploration / Photographie subaquatique""]"
E003I020710003;I020710003;2025-03-31;"Camping ""La Croix du vieux Pont";;r de la fabrique;02290;Berny-Rivière;02071;Piscine;;"[""Handicap moteur""]";;660 emplacements (Châlets, Cabanes dans les arbres et tentes);2024-02-05;2005-12-22;;200071991;2;Aisne;32;Hauts-de-France;CC Retz-en-Valois;60159;Compiègne;024;Soissons;6;Rural à habitat dispersé;02;Académie d'Amiens;NC - Commune non classée;Bassin intérieur;Bassin ludique de natation;49.40491, 3.12926;;Etablissement privé commercial;;Etablissement privé commercial;;;;;;;;1994;1985-1994;1999;1995-2004;;;Découvrable;Synthétique (hors gazon);;;;;false;;0;;0;;true;"[""Réception / Accueil"", ""Buvette"", ""Local de rangement""]";"[""Bain(s) bouillonnant(s)"", ""Solarium""]";;;;22.0;9.0;198.0;0.9;2.5;;;;;;;"[""Individuel(s),famille(s),Scolaires,universités""]";;false;RAS;HERTAULT;Hervé;mairiede.berny-riviere@wanadoo.fr;;Bassin de natation;103;;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;3.12926;49.40491;"[""Piscine""]";['Aquagym', 'Baignade loisirs']
E004I023810011;I023810011;2025-03-31;"Espace aquatique ""L'Ile Verte""";24020060000122;rue du grand taillis;02500;Hirson;02381;Base de plein air et/ou de loisirs,Piscine;;"[""Handicap moteur""]";"[""Bus""]";;2024-01-30;2005-09-08;;240200600;2;Aisne;32;Hauts-de-France;CC des Trois Rivières;02381;Hirson;025;Vervins;3;Petites villes;02;Académie d'Amiens;C - Classée en ZRR;Espace billard;Salle de billard;49.92398, 4.09963;;EPCI;;Etablissement privé commercial;;true;true;"[""X""]";2;;;2003;1995-2004;;;;"[""Gaz""]";Intérieur;Carrelage;15.0;10.0;3.0;150.0;true;;0;0;0;false;true;"[""Réception / Accueil"", ""Autre""]";;Aire de jeu;;;;;;;;;;;;;;"[""Individuel(s),famille(s)""]";false;false;RAS;;;;;Salle ou terrain spécialisé;2103;;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;4.09963;49.92398;"[""Base de plein air et/ou de loisirs"", ""Piscine""]";['Billard (Français (carambole)', 'Snooker', 'Anglais', 'Américain)']
E004I024080034;I024080034;2025-03-31;Le dôme - Centre aquatique & patinoire;24020041000035;74 Avenue Charles de Gaulle;02000;Laon;02408;Piscine,Patinoire;;"[""Handicap moteur""]";"[""Bus""]";;2024-04-23;2005-08-09;;200043495;2;Aisne;32;Hauts-de-France;CA du Pays de Laon;02408;Laon;022;Laon;2;Centres urbains intermédiaires;02;Académie d'Amiens;NC - Commune non classée;Bassin de natation sportif;Bassin sportif de natation;49.56711, 3.65216;;EPCI;;Etablissement privé commercial;;true;true;"[""X""]";1;2003-03-21;1995-2004;2003;1995-2004;2019;;"[""Inadaptation aux attentes des usagers"", ""Vétusté normale"", ""remise à niveau""]";"[""Gaz""]";Intérieur;Carrelage;;;;;true;;150;5;0;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Buvette"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours"", ""Autre""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Solarium""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Tribunes,Vestiaires;;;25.0;15.0;375.0;2.1;2.3;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;Le sauna et le Hamman étaient en cours de rénovation au moment du recensement;;;;;Bassin de natation;102;9QB4BVH3SAVD;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;3.65216;49.56711;"[""Piscine"", ""Patinoire""]";['Activités de forme et de santé', 'Baignade loisirs', 'Nage avec palmes', 'Natation course sportive', 'Natation synchronisée', 'Water-Polo']
E003I600570045;I600570045;2025-03-31;Aquaspace;20006799900017;7 rue Antonio de Hojas;60000;Beauvais;60057;Piscine;;"[""Handicap moteur""]";;Présence d'une rivière exterieure de 120m et de trois bassins (ouverts que l'été)Le terrain appartient à la ville de Beauvais mais l'installation appartient à l'agglomération de Beauvais.;2024-04-24;2009-09-13;;200067999;60;Oise;32;Hauts-de-France;CA du Beauvaisis;60057;Beauvais;601;Beauvais;2;Centres urbains intermédiaires;60;Académie d'Amiens;NC - Commune non classée;Bassin sportif;Bassin sportif de natation;49.451773, 2.094182;;EPCI;;Commune;;false;true;"[""X""]";2;;;2008;A partir de 2005;;;;"[""Gaz"", ""Solaire""]";Intérieur;Carrelage;;;;;true;;300;6;0;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Solarium""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Tribunes,Vestiaires;Sanitaires;;25.0;21.0;525.0;1.8;2.6;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;Centre de Préparation aux Jeux (CPJ).;LEROY;Olivier;o.leroy@beauvaisis.fr;03 44 15 67 98 / 06 99 13 56 09;Bassin de natation;102;2D2RTZT5H2QT;true;false;true;true;true;true;true;true;true;true;true;false;false;true;false;false;false;2.094182;49.451773;"[""Piscine""]";['Baignade loisirs', 'Hockey subaquatique', 'Nage avec palmes', 'Natation course sportive', 'Natation synchronisée', 'Plongée en apnée', 'Water-Polo']
E003I606890002;I606890002;2025-03-31;CENTRE DES SPORTS RIMBERLIEU;;1 Allée de la Chebeaude;60150;Villers-sur-Coudun;60689;Complexe sportif,Piscine;;"[""Handicap moteur""]";;Visite de l'enqueteur en 2010, pas d'éléments fournis car la continuité de l'activité du site est remise en question. Fiche à vérifier ulterieurement en cas de reprise ou cessation  d'activité.;2020-12-12;2005-09-29;;246000855;60;Oise;32;Hauts-de-France;CC du Pays des Sources;60636;Thourotte;603;Compiègne;5;Bourgs ruraux;60;Académie d'Amiens;NC - Commune non classée;6 tennis extérieurs;Court de tennis;49.48812, 2.81307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Court de tennis;501;;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;2.81307;49.48812;"[""Complexe sportif"", ""Piscine""]";
E003I624980051;I624980051;2025-03-31;Aqualens;92164029800011;Avenue André Delelis;62300;Lens;62498;Piscine;;"[""Handicap sensoriel"", ""Handicap moteur""]";"[""Train"", ""Bus""]";;2024-11-15;2024-11-12;;246200364;62;Pas-de-Calais;32;Hauts-de-France;CA de Lens - Liévin;62498;Lens;627;Lens;1;Grands centres urbains;62;Académie de Lille;NC - Commune non classée;Bassin aqualudique;Bassin ludique de natation;50.431896, 2.818218;Ville de Lens;Commune;;;;true;true;"[""X"", ""R""]";2;2023-04-27;A partir de 2005;2023;A partir de 2005;;;;;Intérieur;Carrelage;;;;;true;;0;10;4;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours"", ""Autre""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Autre""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Aire de jeu,Cheminements,Sanitaires,Signalétique,Vestiaires;;10.8;13.9;150.0;0.8;1.3;;;;;;;"[""Individuel(s),famille(s)""]";false;false;Création ayant été subventionné par l'Agence National du Sport (ANS);;;;;Bassin de natation;103;;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;2.818218;50.431896;"[""Piscine""]";['Aquagym', 'Baignade loisirs']
E003I625060002;I625060002;2025-03-31;SALLE DE JEUX ET TERRAINS DE PETANQUE;;"253 rue Du Breuil camping ""les pommiers des 3 pays""";62850;Licques;62506;Piscine;;"[""Handicap moteur""]";;;2024-04-24;2005-12-27;;200072478;62;Pas-de-Calais;32;Hauts-de-France;CC Pays d'Opale;62038;Ardres;626;Calais;5;Bourgs ruraux;62;Académie de Lille;NC - Commune non classée;Piscine;Bassin ludique de natation;50.779728808, 1.94829861895;;Etablissement privé commercial;;Etablissement privé commercial;;false;true;"[""X""]";5;;;2013;A partir de 2005;;;;"[""Electricité""]";Extérieur couvert;Synthétique (hors gazon);;;;;false;;0;0;0;;true;"[""Local de rangement""]";;Aire de jeu,Cheminements,Douches,Sanitaires;Sanitaires;;9.8;4.7;46.6;1.3;1.3;;;;;;;"[""Individuel(s),famille(s)""]";;true;;BAUDE;Mylène;contact@mairie-licques.fr;03 21 35 00 19;Bassin de natation;103;;true;false;true;true;false;false;true;true;true;true;false;false;false;true;false;false;false;1.94829861895;50.779728808;"[""Piscine""]";['Baignade loisirs']
E003I625100041;I625100041;2025-03-31;Espace aquatique et de remise en forme NAUTICAA;21620510400443;Rue Hoche;62800;Liévin;62510;Piscine;;"[""Handicap moteur""]";"[""Bus""]";Travaux ayant été subventionné par l'Agence National du Sport (ANS);2024-09-19;2012-03-15;;246200364;62;Pas-de-Calais;32;Hauts-de-France;CA de Lens - Liévin;62498;Lens;627;Lens;1;Grands centres urbains;62;Académie de Lille;NC - Commune non classée;Bassin balnéo-thérapie;Bassin ludique de natation;50.416872, 2.771494;Ville de Liévin;Commune;;Etablissement privé commercial;;true;true;;;;;2011;A partir de 2005;2026;;;"[""Autre""]";Intérieur;Carrelage;;;;;true;;0;11;8;;true;"[""Réception / Accueil"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Solarium""]";Accueil,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;13.3;10.0;133.0;1.3;1.3;;;;;;;"[""Individuel(s),famille(s)""]";;false;Travaux ayant été subventionné par l'Agence National du Sport (ANS);;;;;Bassin de natation;103;F8QHKT486WFE;true;true;true;true;true;true;false;true;true;true;false;false;false;true;false;false;false;2.771494;50.416872;"[""Piscine""]";['Aquagym', 'Baignade loisirs']
E003I625490001;I625490001;2025-03-31;Aquatic & Bowling Center de l'Hesdinois;20004403000019;Zone Parc du champ Sainte-Marie;62140;Marconne;62549;Piscine;;"[""Handicap moteur""]";;;2024-09-26;2013-08-25;;200044030;62;Pas-de-Calais;32;Hauts-de-France;CC des 7 Vallées;62447;Hesdin;624;Montreuil;3;Petites villes;62;Académie de Lille;C - Classée en ZRR;Bassin ludique extérieur;Bassin ludique de natation;50.367088, 2.029365;Fillion;EPCI;;EPCI;;false;true;"[""X""]";2;;;2012;A partir de 2005;;;;"[""Electricité"", ""Gaz"", ""Autre""]";Découvert;Carrelage;;;8.0;;true;;0;19;0;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Club(s) house"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours"", ""Autre""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Autre""]";Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Aire de jeu,Cheminements,Sanitaires,Signalétique,Vestiaires;;10.0;10.0;20.0;0.8;1.3;;;;;;http://www.abc-lhesdinois.fr/;"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]";;false;RAS;LEBRUN;Anne;commune.marconne@wanadoo.fr;03 21 86 86 73;Bassin de natation;103;;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;2.029365;50.367088;"[""Piscine""]";['Baignade loisirs']
E003I628650007;I628650007;2025-03-31;Centre aquatique Aquatis;;route nationale 950;62490;Vitry-en-Artois;62865;Piscine;;"[""Handicap moteur""]";"[""Bus""]";;;2015-10-20;;200044048;62;Pas-de-Calais;32;Hauts-de-France;CC Osartis Marquion;59178;Douai;621;Arras;4;Ceintures urbaines;62;Académie de Lille;NC - Commune non classée;Pataugeoire;Bassin ludique de natation;50.332866, 2.980227;;Etablissement Public;;Etablissement Public;;false;true;"[""X""]";3;;;2014;A partir de 2005;;;;;Intérieur;Carrelage;;;;;true;;;4;1;true;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement""]";;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;;;34.0;0.1;0.4;;;;;;;"[""Individuel(s),famille(s)""]";false;false;;;;;;Bassin de natation;103;;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;2.980227;50.332866;"[""Piscine""]";['Baignade loisirs']
